,ProductId,Score,Summary,Text
0,B0026RQTGE,5,addictive! but works for night coughing in dogs,"my 12 year old sheltie has chronic brochotitis, been on meds for three years, these help with the coughing fits at night. so I like them!!!<br /> one bite and both my dogs are addicted!!! be warned!!! 7 pm both shelties are on my lap howling for the drug fix! I am a dog trainer and have never seen  anything like it....<br /><br />three weeks later,, the beloved sheltie got a bowel blockage from these, use with caution.<br />if the cat gets too many she has the runs....<br />sheltie did better when i upped her thryoid meds, and gave her doggie asthma meds.<br />so it worked better for the 18 year old cat, who also has asthma."
1,B0026RQTGE,5,genuine Greenies best price,"These are genuine Greenies product, not a knockoff.  My dogs love them!  It is their favorite treat.  I have 2 small dogs, both under 10 lbs. and the Teenie size is perfect for them.  I paid $22.37 for this 96-pack and it is by far the best price I have found anywhere.  I wish these were part of the Subscribe & Save program."
2,B0026RQTGE,5,Perfect for our little doggies,"Our dogs love Greenies, but of course, which doggies don't?  I bought this for my dashchund and minpin, and it's perfect!  A great price for a great product.  Who could ask for more."
3,B0026RQTGE,5,dogs love greenies,"What can I say, dogs love greenies. They begg for them all the time. They always sit by the cupboard and ask for more."
4,B0026RQTGE,5,Greenies review,This review is for a box of Greenies Lite for my dog. The package came quickly and was packaged appropriately. I was very satisfied with this purchase and with the seller.
5,B0026RQTGE,5,Magic Breath Chews for your dog,I highly recommend these chews for your dog. They do exactly what they say that they will do; freshen your dog's breath!<br /><br />I found them to be significantly cheaper to buy them at Amazon compared to the chain pet stores; at least $10 cheaper as of Sept. 2011.<br /><br />I have read that some dogs do not chew them well enough and have choked. I have not had that happen to my dog but it is probably something you need to take into consideration.<br /><br />My advice is to buy a smaller bag at a pet store first and see if they work for your animal. Then come back and buy them here!
6,B0026RQTGE,5,Greenies for Seniors,I have always used Greenies for my dogs. THese for seniors are wonderful. I have an elderly bulldog with really bad breath. She used to swallow the original Greenies whole so I quit buying them for her. She actually does chew these and eat them and they make a big difference in how her breath smells. Great product and the price is better than I have seen it in some local pet stores.
7,B0026RQTGE,5,Kinda Pricy but good!,"If you've got hard chewers (like one of our dogs), these things won't really work for the 'brushing' aspect -- they're bussted up and swallowed pretty quickly. We have three Chihuahua mixes, and they dispatched these petite ones too quickly, so we get them the next size up (small, I think). But the product is good, and they really do help a bit with breath -- although the biggest bad-breath-maker is teeth that need brushing, and there is no substitute for real brushing/cleaning.  These are good as part of the process though. We have, and will continue to purchase this product."
8,B0026RQTGE,5,DOG LOVES THESE,"I tried Greenies on my dog about 8 years ago and he won't eat them.  So I tried dental rawhide chews which he chewed just fine.  My dog is now 13 years old and he started to swallow the dental rawhide whole and would choke on them.  I'm not sure because of his age that he tries to swallow them whole, but I'm sure it's not good for him.  I thought I would try the Greenies again because the reviews are good and they break into bits when chewed.  I order the large Greenies for him and he loves them.  I'm not sure if they changed the taste or what, but he chews them, and hopefully it will help maintain his teeth."
9,B0026RQTGE,5,Great treat and good for dental health,"This is a fabulous treat for my little cavalier king charles. He looks forward to it after his daily dental cleaning. I cut each greenie into smaller pieces, because JB (for James Bond) has long ears and he chews on the smaller pieces without letting anything fall on the floor and sticking to his ears."
10,B0026RQTGE,5,My dogs love these chews!,"I am the lucky parent of three dogs. I alternate their teeth cleaning chews and they love the Greenies and the Checkups best. Thanks to Amazon, I don't have to pay for S&H, which living in Alaska, usually costs a fortune!! Thank you Amazon!! I prefer to purchase from our local pet store, but they aren't able to get the Greenies or the Checkups, so I'm very happy that I can order them through Amazon."
11,B0026RQTGE,5,Awesome!,This is a great product. My 2 year old Golden Retriever hates to have his teeth brushed and this product made his teeth white again. Great seller and great price too!
12,B0026RQTGE,4,My cat loves the dog greenies,"I was looking for a way to help clean my cat's teeth so at first I tried the feline greenies,but he wouldn't have anything to do with those. I went to the local pet store looking for an alternative and the clerk suggested trying the dog greenies instead. I was skeptical at first so I only bought a couple of individually wrapped samples. Well, my cat absolutely loves the dog greenies! They do seem to help his breath, but I don't know how much they help the plaque and tartar build up. Oh well, it has become the only treat he likes so I will keep buying bulk boxes. I give him one every day, occasionally two, if I need to bribe him to stay inside when I open the door."
13,B0026RQTGE,4,whiten your dogs teeth,"Greenies are an excellant way to whiten your dogs teeth. The costs were much lower here, than what you can buy locally at the dog food stores. They have made a great improvment in my dog(s) breath, tarter and overall mouth smell!"
14,B0026RQTGE,4,Dogs love them - Owners hate paying for them!,"My dogs are addicted to these things and it's my fault.  Whether or not they are good for my dog's teeth and digestive health is up in the air. All I know is that it keeps them quiet and they will do anything for them.<br /><br />I would lower the star ratings based on the fact that the manufacturer knows they have, some what, of a monopoly and charge an inordinate amount for these treats; yet, I am dumb enough to buy them so it's basically my fault.<br /><br />At least by buying on Amazon you are saving some dollar bills as compared to a traditional brick and mortar.<br /><br />My only gripe is that by the time you get to the end of the box, even if you seal the bag, they get significantly harder and I am somewhat concerned that they will splinter.<br /><br />Also, be sure to watch over your dog when he eats them, just to be safe."
15,B0026RQTGE,4,likes it,"this product does help to cleen the teeth, but doesnt really help to get rid of the bad breath of my pom..But still a good buy, cause the size is perfect for small breed dogs"
16,B0026RQTGE,4,My dogs' teeth are pearly white,"My dogs love their Greenies, and their teeth are pearly white from chewing on them.  The only problem is that Greenies are expensive, so I buy them in bulk on Amazon to keep the prices down a little bit,"
17,B0026RQTGE,5,My dog loves these,My dog loves greenies - she waits for them everyday!  We give her one regular sized one per day and the teenies as treats for going outside etc.  I have heard that these do not digest easily if your dog is not a chewer.  My dog is a chewer so it works out great.  She is addicted!
18,B0026RQTGE,5,Our dog loves her Greenies!,"Super fast shipping, even included a couple trial treats.  Our dog loves these and we'll be purchasing them again!"
19,B0026RQTGE,5,Good Deal for my Good Dog,My dog looks forward to a Greenie dessert everyday.  You will NOT find this deal at the local pet stores.  I love the fact that I get a good deal at Amazon.  I save time and gas.  My dog thanks us both.
20,B0026RQTGE,5,Greenies,"Perform as promised.  No problems with ""blobs"" since my dog chews 'em up real well."
21,B0026RQTGE,5,My dogs love them!,"Great treat for all doggies, very healthy and they adore them.  Excellent and fast shipping,will buy again."
22,B0026RQTGE,5,Teenie Greenies,"My little dogs really like these ""teenie"" Greenies dental chewies. Not only are they good for the dogs' teeth, the dogs consider them a treat! I am not able to find these really small Greenies elsewhere; the smallest I can find in the stores are ""petites"" which are too large for these little dogs to chew.  So, thank you for making these available.  I was very pleased with the service; these arrived here quickly and in excellent condition!  I will order from this website again!"
23,B0026RQTGE,5,Expensive treats but my dogs LOVE them!,"I have two Airedales.  They aren't fussy eaters - or snackers - but each gets a Greenie at bedtime.  We let them out in the yard for a bit before they go to bed and all I have to do is say ""Time for your Greenies!"" to make them race for the house and dance around until they get that bedtime snack.  It's their special treat and I love the fact that they actually have to chew them moderately slowly instead of just inhaling them!  The only drawback is that they're expensive."
24,B0026RQTGE,5,Very happy with purchase,I was very happy with the quick delivery and how I was given a tracking method to determine where my Greenies were. I'll telling my friends and relatives about the good experience.
25,B0026RQTGE,4,My Dog Loves Them,What can I say my dog goes crazy over these things - wish I really understood what are in them that makes it so desirable...now if we could only do this for vegetables so kids would be excited!!
26,B0026RQTGE,5,My Silky Terrier loves these!,"He weighs 15 pounds, so he is just at the top of the range for the teenie size Greenies.  He likes them so much, he would probably prefer the Jumbo size!  I've given him these for his whole life, so I don't know if they get his teeth any cleaner than without them, but his teeth look pretty clean to me!"
27,B0026RQTGE,5,Great for dog breath and teeth,Ive been buying this product for a few years and am very happy with it. My dog loves them.
28,B0026RQTGE,4,My dog LOVES these,"Ok, can I just express how much my dog loves Greenies.  I know that there have been reports of problems with dogs inhaling them without chewing them well and thus having digestion problems, but my dog savors them.  She freaks out when she knows she's going to get one and will heard whomever is getting it right to the place we store them.  She knows if we talk about them so we have to call them G's to each other.  She will tolerate other treats if I'm waiting for an order from Amazon, but she doesn't like it.  The only downfall is the price.  I can usually find a pretty good deal somewhere on Amazon and so I'll stock up on them when I can.  If I can't, she has to wait and substitute with something else."
29,B0026RQTGE,5,Greenies,Stopped being able to find large quantities locally so glad that Amazon has vendors who are selling them at a great price.
30,B0026RQTGE,5,Greenie Review,"<a href=""http://www.amazon.com/gp/product/B000KBFKIQ"">Greenies Dental Chews - 27 ounce Box - Petite - 45 count</a> Very good product delivered promptly at a fair price. Will order more from this site."
31,B0026RQTGE,4,Great for picky eaters,My dog is the pickiest eater and does not enjoy many treats but he goes crazy over this one. It helps freshen his breath but I don't know how to evaluate the cleaning ability of this product. The only bad thing is that it will make your dog fat if he eats too much.
32,B0026RQTGE,1,Check Contents First,"Half way through the supply, I noticed that there were tiny white worms boring through a greenie so I checked the remaining greenies and they also had worms.  Please empty the contents of the box and check the greenies when you receive your order before giving them to your dog.  This may have been an isolated incident but it would only take a few minutes to check the contents for freshness."
33,B0026RQTGE,3,"Dogs love them, but I don't think they love dogs","I will continue to give these to my dogs. They like them and supposedly they clean their teeth.<br />I started to give these to my dog daily, but her digestive system did not like it enough for that. Most of it seems to be digestible, but she threw up green foam on the morning after the second day in a row of eating one-a-day greenies. Note that she was also constipated as well. Greenie advises to have plenty of water available for drinking these, so I am guess they know these side effects can occur. My dog has plenty of water available, but she didn't drink any more than normal, which may have resulted in the effects. I don't plan on training my dog to drink lots of extra water after eating these. Giving here one every now and then shows no negative effects, and that what I plan on doing.<br />Not a complaint to me, but I think people who like giving there dog all natural health food should know that this product is far from ""green."" It is pumped pull of artificial ingredients like a multivitamin. It is also made from concentrated grain protein, rather than the animal protein dogs should be getting. I personally don't feel that this is that big of a deal health wise for a creature than lives 12-18 years, but or people who invest the extra money on organic/natural dog food, you should be staying away from this product."
34,B0026RQTGE,3,Wrong size,"I ordered the GREENIES 'PETITE' size for my dogs, as I have done many times  before thru Amazon.  This time however, the WRONG size greenies arrived.  The thing is, the box DID say it was the PETITE size on it!  After I opened the box, I found that it was the next size up and too big for my dogs to eat.  Now I have to try & cut these stinkers with a scissors each day!  I'm NOT happy...but I couldn't return them as I had opened the package.<br />I am afraid to order more, as the entire batch that Amazon has, may ALL be MIS-labled!"
35,B0026RQTGE,5,A great deal on Greenies,Paid only $22 with free shipping for 96 teenies compared to about $35 at the pet store. How can you go wrong with a deal like that?  The dog begs for his daily Greenie. Got to have them.
36,B0026RQTGE,5,Greenies for Dogs,"How well the dogs would eat them.  Glad to know the benefits the animals get from chewing them, both for teeth cleaning and breathe.  Safety us always an issue."
37,B0026RQTGE,1,very dangerous product for dogs,"i bought this for my dog - he loved it.  however, i noticed that he stopped pooping and came to realize (after googling) that it caused him to be constipated.  His stomach was very bloated and I could feel that his colon was obstructed by something -- a piece of undigested greenies treat.  I gave him all some olive oil and mineral oil and massaged his colon and eventually he started pooping again.  I did notice that the greenie came out undigested!  This product is really dangerous and I would love to join in on a class action lawsuit against this unethical company.  They have made greenies 'tasty' but that is all it is.  a tasty but dangerous product."
38,B0026RQTGE,5,Best doggie treat,"I buy the teenie greenies and break them in half for our dogs.  They go nuts over them no matter what the size.  Having them in a ""lite"" version is even better because the vet did tell me they are high in calories.  Don't know what they put in these things to make them so appealing, but haven't known a dog yet who doesn't love them.  Hope they are also doing the job they are meant to do."
39,B0026RQTGE,5,Dog loves Greenies,Greenies are always a good product.  Our dog loves them and reminds us if we forget to give him one.  Plus I love the price on Amazon and can't always get them locally.
40,B0026RQTGE,5,Great teeth,My vet is always surprised how clean my 8 year old dog's teeth are and I attribute this the his daily Greenie.
41,B0026RQTGE,5,radtechmom,Our beautiful Belle loves her daily toothbrush treat. Amazon provides an awesome price and delivers them to our doorstep. That makes it even handier. The Greenies are a proven winner for a more natural breath freshening dog treat. Too bad Greenies doesn't get more 'green' with their packaging and lose the outer box that they use. The sealed inside bag would be plenty good enough. It keeps the treats fresh and takes up less space. The first thing we do is toss the box out--- what a waste!
42,B0026RQTGE,5,my dogs love these,"In September, I adopted 2 adult border terrier mixes from The Shelter Pet project and the oldest girl had a few ""breath"" issues.  Heard about Greenies and have not been disappointed.  The two of them love their treat before I go to work and it is comical to see them chew and chew and chew, since that is what removes the tartar. Amazon has much better pricing then the pet centers, so I love it.  Try them for your pet, they will love it."
43,B0026RQTGE,4,My Yorkie Loves them!,This is the first time I bought this product for my 9 yr old yorkie... and she loved it!  The small size is perfect for her.  This box of greenies will give her many days of enjoyment!
44,B0026RQTGE,5,Puppies love them!,"These tinnie greenies make the perfect ""out the door"" bribe for my Cavlier King Charles Babies. I think they almost look forward to me going to work now.  Barkley is 21 lbs & Gypsy is 18 so while they are a bit larger than the recommended size for the product it really works out perfectly helping keep the pounds off.<br /><br />Having shopped around, you are saving about ten dollars by ordering from Amazon rather than going into a big box pet store."
45,B0026RQTGE,5,My Dog Says YUMMMMM,"My Chihuahua has horrible horrible breath.... and she loves to get in your face and give kisses to everyone. These help, and she loves to eat them. Good thing she can't reach the counter!"
46,B0026RQTGE,4,Good,"My dog likes thse alot..He runs to his bedroom to eat them, which is reserved for just his special treats..Can't say his breath is any better but he just started eating them a month ago,or so.."
47,B0026RQTGE,3,Jumbo Greenies-Good but Very Expensive,"Bought the Jumbo Greenies for my Black Lab. He loved them, but at $2.66 each they are way too expensive for regular use.  Didn't notice any difference in breath which was the primary reason for buying."
48,B0026RQTGE,4,Dogs liked 'em!,Our two thirteen year dogs like these.  They're prone to major tartar build up on their teeth and these helped some and made their breath better.  I never expected these to polish the teeth perfectly but they made a bad condition not so bad.
49,B0026RQTGE,5,Cleaner dog mouth,"This is a good product. My dog likes them, Makes it obvious he wants his greenie every night. Amazon sells them at good price and quality has always been good"
50,B0026RQTGE,5,A treat that is good for the teeth,I have a two year old chihuahua mix.My vet shared with me that I would have to be vigilant about the health of my Pups teeth.Greenies help keep my dogs teeth clean and his breath fresh. And best of all my Pups loves them above all other treats.
51,B0026RQTGE,5,My dog loves them,Great product.  My dog loves the bones and they come in a ziplock bag inside the box.  Just like the ones at the store and much cheaper at Amazon.
